sensor,first,last
SoilT_O1_2p5_Avg,2014-01-17,2014-02-17
SoilT_O1_12p5_Avg,2014-01-17,2014-02-17
SoilT_O1_22p5_Avg,2014-01-17,2014-02-17
SoilT_G1_2p5_Avg,2014-01-17,2014-02-17
SoilT_G1_12p5_Avg,2014-01-17,2014-02-17
SoilT_G1_22p5_Avg,2014-01-17,2014-02-17
SoilT_O2_2p5_Avg,2014-01-17,2014-02-17
SoilT_O2_12p5_Avg,2014-01-17,2014-02-17
SoilT_O2_22p5_Avg,2014-01-17,2014-02-17
SoilT_G2_2p5_Avg,2014-01-17,2014-02-17
SoilT_G2_12p5_Avg,2014-01-17,2014-02-17
SoilT_G2_22p5_Avg,2014-01-17,2014-02-17
SoilT_O3_2p5_Avg,2014-01-17,2014-02-17
SoilT_O3_12p5_Avg,2014-01-17,2014-02-17
SoilT_O3_22p5_Avg,2014-01-17,2014-02-17
SoilT_O337p5_Avg,2014-01-17,2014-02-17
SoilT_O3_52p5_Avg,2014-01-17,2014-02-17
SoilT_G3_2p5_Avg,2014-01-17,2014-02-17
SoilT_G3_12p5_Avg,2014-01-17,2014-02-17
SoilT_G3_22p5_Avg,2014-01-17,2014-02-17
mux25t_signal_Avg_4,2009-07-29,2010-05-05
mux25t_signal_Avg_5,2009-07-29,2010-05-05
mux25t_signal_Avg_6,2009-07-29,2010-05-05
mux25t_signal_Avg_10,2009-07-29,2010-05-05
mux25t_signal_Avg_11,2009-07-29,2010-05-05
mux25t_signal_Avg_12,2009-07-29,2010-05-05
mux25t_signal_Avg_17,2009-07-29,2010-05-05
mux25t_signal_Avg_18,2009-07-29,2010-05-05
mux25t_signal_Avg_19,2009-07-29,2010-05-05
mux25t_signal_Avg_20,2009-07-29,2010-05-05
mux25t_signal_Avg_1,2009-07-29,2010-05-05
mux25t_signal_Avg_2,2009-07-29,2010-05-05
mux25t_signal_Avg_3,2009-07-29,2010-05-05
mux25t_signal_Avg_7,2009-07-29,2010-05-05
mux25t_signal_Avg_8,2009-07-29,2010-05-05
mux25t_signal_Avg_9,2009-07-29,2010-05-05
mux25t_signal_Avg_13,2009-07-29,2010-05-05
mux25t_signal_Avg_14,2009-07-29,2010-05-05
mux25t_signal_Avg_15,2009-07-29,2010-05-05
mux25t_signal_Avg_16,2009-07-29,2010-05-05
