sensor,first,last
soilT_Avg_1,2011-10-09,2011-10-09
soilT_Avg_2,2011-10-09,2011-10-09
soilT_Avg_3,2011-10-09,2011-10-09
soilT_Avg_4,2011-10-09,2011-10-09
soilT_Avg_5,2011-10-09,2011-10-09
soilT_Avg_6,2011-10-09,2011-10-09
soilT_Avg_7,2011-10-09,2011-10-09
soilT_Avg_8,2011-10-09,2011-10-09
soilT_Avg_9,2011-10-09,2011-10-09
soilT_Avg_10,2011-10-09,2011-10-09
soilT_Avg_11,2011-10-09,2011-10-09
soilT_Avg_12,2011-10-09,2011-10-09
soilT_Avg_13,2011-10-09,2011-10-09
soilT_Avg_14,2011-10-09,2011-10-09
soilT_Avg_15,2011-10-09,2011-10-09
soilT_Avg_16,2011-10-09,2011-10-09
soilT_Avg_17,2011-10-09,2011-10-09
soilT_Avg_18,2011-10-09,2011-10-09
Period_1,2011-10-09,2011-10-09
Period_2,2011-10-09,2011-10-09
Period_3,2011-10-09,2011-10-09
Period_4,2011-10-09,2011-10-09
Period_5,2011-10-09,2011-10-09
Period_6,2011-10-09,2011-10-09
Period_7,2011-10-09,2011-10-09
Period_8,2011-10-09,2011-10-09
Period_9,2011-10-09,2011-10-09
Period_10,2011-10-09,2011-10-09
Period_11,2011-10-09,2011-10-09
Period_12,2011-10-09,2011-10-09
Period_13,2011-10-09,2011-10-09
Period_14,2011-10-09,2011-10-09
Period_15,2011-10-09,2011-10-09
Period_16,2011-10-09,2011-10-09
VWC_1,2011-10-09,2011-10-09
VWC_2,2011-10-09,2011-10-09
VWC_3,2011-10-09,2011-10-09
VWC_4,2011-10-09,2011-10-09
VWC_5,2011-10-09,2011-10-09
VWC_6,2011-10-09,2011-10-09
VWC_7,2011-10-09,2011-10-09
VWC_8,2011-10-09,2011-10-09
VWC_9,2011-10-09,2011-10-09
VWC_10,2011-10-09,2011-10-09
VWC_11,2011-10-09,2011-10-09
VWC_12,2011-10-09,2011-10-09
VWC_13,2011-10-09,2011-10-09
VWC_14,2011-10-09,2011-10-09
VWC_15,2011-10-09,2011-10-09
VWC_16,2011-10-09,2011-10-09
cs616_wcr_1,2009-07-08,2012-04-16
cs616_wcr_2,2009-07-08,2012-04-16
cs616_wcr_3,2009-07-08,2012-04-16
cs616_wcr_4,2009-07-08,2012-04-16
cs616_wcr_5,2009-07-08,2012-04-16
cs616_wcr_6,2009-07-08,2012-04-16
cs616_wcr_7,2009-07-08,2012-04-16
cs616_wcr_8,2009-07-08,2012-04-16
cs616_wcr_9,2009-07-08,2012-04-16
cs616_wcr_10,2009-07-08,2012-04-16
cs616_wcr_11,2009-07-08,2012-04-16
cs616_wcr_12,2009-07-08,2012-04-16
cs616_wcr_13,2009-07-08,2012-04-16
cs616_wcr_14,2009-07-08,2012-04-16
cs616_wcr_15,2009-07-08,2012-04-16
cs616_wcr_16,2009-07-08,2012-04-16
cs616_wcr_17,2009-07-08,2012-04-16
cs616_wcr_18,2009-07-08,2012-04-16
SWC_J1_2p5,2009-07-08,2012-04-16
SWC_J1_12p5,2009-07-08,2012-04-16
SWC_J1_22p5,2009-07-08,2012-04-16
SWC_J2_2p5,2009-07-08,2012-04-16
SWC_J2_12p5,2009-07-08,2012-04-16
SWC_J2_22p5,2009-07-08,2012-04-16
SWC_J3_2p5,2009-07-08,2012-04-16
SWC_J3_12p5,2009-07-08,2012-04-16
SWC_J3_22p5,2009-07-08,2012-04-16
SWC_O1_2p5,2009-07-08,2012-04-16
SWC_O1_12p5,2009-07-08,2012-04-16
SWC_O1_22p5,2009-07-08,2012-04-16
SWC_O2_2p5,2009-07-08,2012-04-16
SWC_O2_12p5,2009-07-08,2012-04-16
SWC_O2_22p5,2009-07-08,2012-04-16
SWC_O3_2p5,2009-07-08,2012-04-16
SWC_O3_12p5,2009-07-08,2012-04-16
SWC_O3_22p5,2009-07-08,2012-04-16
