af_mapping,qc_mapping,desc,current,previous1,previous2
,,,AirTC_1p5_Avg,,
,,,AirTC_4p5_Avg,AirTC_Avg,
,,,AirTC_8p75_Avg,,
,,,AirTC_16_Avg,,
,,,AirTC_24_Avg,AirTC_2_Avg,
,,,RH_1p5_Avg,,
,,,RH_4p5_Avg,RH,
,,,RH_8p75_Avg,,
,,,RH_16_Avg,,
,,,RH_24_Avg,RH_2,
,,,co2_mean_Avg,co2_Avg,
,,,co2_um_m_Avg,co2_u_mol_Avg,
,,,stdev_Ts,cov_Ts_Ts,
,,,stdev_Ux,cov_Ux_Ux,
,,,stdev_Uy,cov_Uy_Uy,
,,,stdev_Uz,cov_Uz_Uz,
,,,stdev_co2,cov_co2_co2,
,,,stdev_h2o,cov_h2o_h2o,
,,,cov_Ts_Ux,cov_Ux_Ts,
,,,cov_Ts_Uy,cov_Uy_Ts,
,,,cov_Ts_Uz,cov_Uz_Ts,
,,,cov_Ux_Uz,cov_Uz_Ux,
,,,cov_Uy_Uz,cov_Uz_Uy,
,,,cov_co2_Ux,cov_Ux_co2,
,,,cov_co2_Uy,cov_Uy_co2,
,,,cov_co2_Uz,cov_Uz_co2,
,,,cov_h2o_Ux,cov_Ux_h2o,
,,,cov_h2o_Uy,cov_Uy_h2o,
,,,cov_h2o_Uz,cov_Uz_h2o,
,,,e_hmp_mean_Avg,e_Avg,
,,,h2o_mean_Avg,h2o_Avg,
,,,h2o_hmp_mean_Avg,h2o_hmp_Avg,
,,,h2o_mm_m_Avg,h2o_m_mol_Avg,
,,,Hc,,
,,,Hs,,
,,,Rad_long_Dn_Avg,Rad_long_Dn__Avg,Rad_long_Dn
,,,Rad_long_Up_Avg,Rad_long_Up__Avg,
,,,Rad_short_Up_Avg,,
,,,Rad_short_Dn_Avg,,
,,,NetTot_Avg,,
,,,NetRs_Avg,,
,,,NetRl_Avg,,
,,,par_facedown_Avg,par_down_Avg,
,,,par_faceup_Avg,par_up_Avg,par_Avg
,,,CNR1TC_Avg,,
,,,rho_a_mean_Avg,rho_a_Avg,
,,,sig_lck_f_Tot,track_f_Tot,
,,,low12V_5000_Tot,low12V_5000,
,,,panelT_5000_Avg,panelT_5000_in_Avg,
,,,echo_h2o_Avg,,
,SWC_P1_5_Avg,,SWC_P1_5_Avg,,
,SWC_P1_10_Avg,,SWC_P1_10_Avg,,
,SWC_P1_30_Avg,,SWC_P1_30_Avg,,
,SWC_P1_60_Avg,,SWC_P1_60_Avg,,
,SWC_P3_5_Avg,,SWC_P3_5_Avg,,
,SWC_P3_10_Avg,,SWC_P3_10_Avg,,
,SWC_P3_30_Avg,,SWC_P3_30_Avg,,
,SWC_P3_60_Avg,,SWC_P3_60_Avg,,
,SWC_P2_5_Avg,,SWC_P2_5_Avg,,
,SWC_P2_10_Avg,,SWC_P2_10_Avg,,
,SWC_P2_30_Avg,,SWC_P2_30_Avg,,
,SWC_P2_60_Avg,,SWC_P2_60_Avg,,
,SoilT_P1_5_Avg,,SoilT_P1_5_Avg,,
,SoilT_P1_10_Avg,,SoilT_P1_10_Avg,,
,SoilT_P1_30_Avg,,SoilT_P1_30_Avg,,
,SoilT_P1_60_Avg,,SoilT_P1_60_Avg,,
,SoilT_P3_5_Avg,,SoilT_P3_5_Avg,,
,SoilT_P3_10_Avg,,SoilT_P3_10_Avg,,
,SoilT_P3_30_Avg,,SoilT_P3_30_Avg,,
,SoilT_P3_60_Avg,,SoilT_P3_60_Avg,,
,SoilT_P2_5_Avg,,SoilT_P2_5_Avg,,
,SoilT_P2_10_Avg,,SoilT_P2_10_Avg,,
,SoilT_P2_30_Avg,,SoilT_P2_30_Avg,,
,SoilT_P2_60_Avg,,SoilT_P2_60_Avg,,
,,,Soil_CO2_P1_5_Avg,,
,,,Soil_CO2_P1_10_Avg,,
,,,Soil_CO2_P1_30_Avg,,
,,,Soil_CO2_P1_60_Avg,,
,,,Soil_CO2_P2_5_Avg,,
,,,Soil_CO2_P2_10_Avg,,
,,,Soil_CO2_P2_30_Avg,,
,,,Soil_CO2_P2_60_Avg,,
,,,Soil_CO2_P3_5_Avg,,
,,,Soil_CO2_P3_10_Avg,,
,,,Soil_CO2_P3_30_Avg,,
,,,Soil_CO2_P3_60_Avg,,
,,,shf_p1_Avg,,
,,,shf_p2_Avg,,
,,,shf_p3_Avg,,
,,,pit1_soilT_shf_2_Avg,pit1_soilT_shf_2cm_Avg,T107_C_Avg_1
,,,pit1_soilT_shf_6_Avg,pit1_soilT_shf_6cm_Avg,T107_C_Avg_2
,,,pit2_soilT_shf_2_Avg,pit2_soilT_shf_2cm_Avg,T107_C_Avg_3
,,,pit2_soilT_shf_6_Avg,pit2_soilT_shf_6cm_Avg,T107_C_Avg_4
,,,tcav_p1_Avg,,
,,,tcav_p3_Avg,TCAV_Avg,
