current,previous1,previous2
AirTC_24_Avg,AirTC_2_Avg,
AirTC_4p5_Avg,AirTC_Avg,
RH_24_Avg,RH_2,
RH_4p5_Avg,RH,
co2_mean_Avg,co2_Avg,
co2_um_m_Avg,co2_u_mol_Avg,
stdev_Ts,cov_Ts_Ts,
stdev_Ux,cov_Ux_Ux,
stdev_Uy,cov_Uy_Uy,
stdev_Uz,cov_Uz_Uz,
stdev_co2,cov_co2_co2,
stdev_h2o,cov_h2o_h2o,
cov_Ts_Ux,cov_Ux_Ts,
cov_Ts_Uy,cov_Uy_Ts,
cov_Ts_Uz,cov_Uz_Ts,
cov_Ux_Uz,cov_Uz_Ux,
cov_Uy_Uz,cov_Uz_Uy,
cov_co2_Ux,cov_Ux_co2,
cov_co2_Uy,cov_Uy_co2,
cov_co2_Uz,cov_Uz_RH_10_Avg,RH_3p7_Avg,2014_01_10,2014_03_14co2,
cov_h2o_Ux,cov_Ux_h2o,
cov_h2o_Uy,cov_Uy_h2o,
cov_h2o_Uz,cov_Uz_RH_10_Avg,RH_3p7_Avg,2014_01_10,2014_03_14h2o,
e_hmp_mean_Avg,e_Avg,
h2o_mean_Avg,h2o_Avg,
h2o_hmp_mean_Avg,h2o_hmp_Avg,
h2o_mm_m_Avg,h2o_m_mol_Avg,
Hc,,
Hs,,
Rad_long_Dn_Avg,Rad_long_Dn__Avg,Rad_long_Dn
Rad_long_Up_Avg,Rad_long_Up__Avg,
par_facedown_Avg,par_down_Avg,
par_faceup_Avg,par_up_Avg,
CNR1TC_Avg,,
rho_a_mean_Avg,rho_a_Avg,
sig_lck_f_Tot,track_f_Tot,
low12V_5000_Tot,low12V_5000,
panelT_5000_Avg,panelT_5000_in_Avg,
pit2_soilT_shf_2_Avg,pit2_soilT_shf_2cm_Avg,
pit2_soilT_shf_6_Avg,pit2_soilT_shf_6cm_Avg,
shf_p1_Avg,SHF_mcon_1,
shf_p2_Avg,SHF_mcon_2,
shf_p3_Avg,SHF_mcon_3,
tcav_p1_Avg,tcav_p3_Avg,TCAV_mcon_1
