current,previous1,previous2,previous3
RH_Avg,RH,,
co2_mean_Avg,co2_Avg,,
co2_um_m_Avg,co2_u_mol_Avg,,
stdev_co2,cov_co2_co2,,
stdev_h2o,cov_h2o_h2o,,
stdev_Ts,cov_Ts_Ts,,
cov_co2_Ux,cov_Ux_co2,,
cov_h2o_Ux,cov_Ux_h2o,,
cov_Ts_Ux,cov_Ux_Ts,,
stdev_Ux,cov_Ux_Ux,,
cov_Ux_Uy,cov_Uy_Ux,,
cov_co2_Uy,cov_Uy_co2,,
cov_h2o_Uy,cov_Uy_h2o,,
cov_Ts_Uy,cov_Uy_Ts,,
stdev_Uy,cov_Uy_Uy,,
cov_co2_Uz,cov_Uz_co2,,
cov_h2o_Uz,cov_Uz_h2o,,
cov_Ts_Uz,cov_Uz_Ts,,
cov_Ux_Uz,cov_Uz_Ux,,
cov_Uy_Uz,cov_Uz_Uy,,
stdev_Uz,cov_Uz_Uz,,
e_hmp_mean_Avg,e_Avg,,
h2o_mean_Avg,h2o_Avg,,
h2o_hmp_mean_Avg,h2o_hmp_Avg,,
h2o_mm_m_Avg,h2o_m_mol_Avg,,
Hs,,,
Hc,,,
par_facedown_Avg,par_face_down_Avg,par_upwelling_Avg,par_Avg_2
par_faceup_Avg,par_face_up_Avg,par_incoming_Avg,par_Avg_1
Rad_long_Dn__Avg,Rad_long_Dn_Avg,,
Rad_long_Up__Avg,Rad_long_Up_Avg,,
rho_a_mean_Avg,rho_a_Avg,,
sig_lck_f_Tot,track_f_Tot,,
low12V_5000_Tot,low12V_3000_Tot,low12V_5000,
panelT_5000_in_Avg,panelT_5000_Avg,panelT_3000_Avg,
CNR1TC_Avg,,,
SWC_G1_2p5_Avg,Soilwcr_g1_2p5,cs616_wcr_1_1,cs616_wcr_1
SWC_G1_12p5_Avg,Soilwcr_g1_12p5,cs616_wcr_1_2,cs616_wcr_2
SWC_G1_22p5_Avg,Soilwcr_g1_22p5,cs616_wcr_1_3,cs616_wcr_3
SWC_G1_37p5_Avg,Soilwcr_g1_37p5,cs616_wcr_2_1,cs616_wcr_4
SWC_G1_52p5_Avg,Soilwcr_g1_52p5,cs616_wcr_2_2,cs616_wcr_5
SWC_G2_2p5_Avg,Soilwcr_g2_2p5,cs616_wcr_2_3,cs616_wcr_6
SWC_G2_12p5_Avg,Soilwcr_g2_12p5,cs616_wcr_3_1,cs616_wcr_7
SWC_G2_22p5_Avg,Soilwcr_g2_22p5,cs616_wcr_3_2,cs616_wcr_8
SWC_G2_37p5_Avg,Soilwcr_g2_37p5,cs616_wcr_3_3,cs616_wcr_9
SWC_G2_52p5_Avg,Soilwcr_g2_52p5,cs616_wcr_4_1,cs616_wcr_10
SWC_O1_2p5_Avg,Soilwcr_o1_2p5,cs616_wcr_4_2,cs616_wcr_11
SWC_O1_12p5_Avg,Soilwcr_o1_12p5,cs616_wcr_4_3,cs616_wcr_12
SWC_O1_22p5_Avg,Soilwcr_o1_22p5,cs616_wcr_5_1,cs616_wcr_13
SWC_O1_37p5_Avg,Soilwcr_o1_37p5,cs616_wcr_5_2,cs616_wcr_14
SWC_O1_52p5_Avg,Soilwcr_o1_52p5,cs616_wcr_5_3,cs616_wcr_15
SWC_O2_2p5_Avg,Soilwcr_O2_2p5,cs616_wcr_6_1,cs616_wcr_16
SWC_O2_12p5_Avg,Soilwcr_O2_12p5,cs616_wcr_6_2,cs616_wcr_17
SWC_O2_22p5_Avg,Soilwcr_O2_22p5,cs616_wcr_6_3,cs616_wcr_18
SWC_O2_37p5_Avg,Soilwcr_02_37p5,cs616_wcr_7_1,cs616_wcr_19
SWC_O2_52p5_Avg,Soilwcr_O2_52p5,cs616_wcr_7_2,cs616_wcr_20
SoilT_G1_2p5_Avg,SoilT_g1_2p5_Avg,,
SoilT_G1_12p5_Avg,SoilT_g1_12p5_Avg,,
SoilT_G1_22p5_Avg,SoilT_g1_22p5_Avg,,
SoilT_G1_37p5_Avg,SoilT_g1_37p5_Avg,,
SoilT_G1_52p5_Avg,SoilT_g1_52p5_Avg,,
SoilT_G2_2p5_Avg,SoilT_g2_2p5_Avg,,
SoilT_G2_12p5_Avg,SoilT_g2_12p5_Avg,,
SoilT_G2_22p5_Avg,SoilT_g2_22p5_Avg,,
SoilT_G2_37p5_Avg,SoilT_g2_37p5_Avg,,
SoilT_G2_52p5_Avg,SoilT_g2_52p5_Avg,,
SoilT_O1_2p5_Avg,SoilT_o1_2p5_Avg,,
SoilT_O1_12p5_Avg,SoilT_o1_12p5_Avg,,
SoilT_O1_22p5_Avg,SoilT_o1_22p5_Avg,,
SoilT_O1_37p5_Avg,SoilT_o1_37p5_Avg,,
SoilT_O1_52p5_Avg,SoilT_o1_52p5_Avg,,
SoilT_O2_2p5_Avg,,,
SoilT_O2_12p5_Avg,,,
SoilT_O2_22p5_Avg,,,
SoilT_O2_37p5_Avg,SoilT_02_37p5_Avg,,
SoilT_O2_52p5_Avg,,,
Soil_CO2_G1_5_Avg,soil_co2_g1_5cm_Avg,,
Soil_CO2_G1_10_Avg,soil_co2_g1_10cm_Avg,,
Soil_CO2_G1_20_Avg,soil_co2_g1_20cm_Avg,,
Soil_CO2_G1_60_Avg,soil_co2_g1_50cm_Avg,,
Soil_CO2_G2_5_Avg,soil_co2_g2_5cm_Avg,,
Soil_CO2_G2_10_Avg,soil_co2_g2_10cm_Avg,,
Soil_CO2_G2_20_Avg,soil_co2_g2_20cm_Avg,,
Soil_CO2_G2_60_Avg,soil_co2_g2_50cm_Avg,,
Soil_CO2_G3_5_Avg,soil_co2_g3_5cm_Avg,,
Soil_CO2_G3_10_Avg,soil_co2_g3_10cm_Avg,,
Soil_CO2_G3_20_Avg,soil_co2_g3_20cm_Avg,,
Soil_CO2_G3_60_Avg,soil_co2_g3_50cm_Avg,,
Soil_CO2_G1_30_Avg,,,
Soil_CO2_G2_30_Avg,,,
Soil_CO2_G3_30_Avg,,,
TCAV_open_Avg,,,
TCAV_grass_Avg,TCAV_Avg,,
SHF_grass_1,grass_1_Avg,,
SHF_grass_2,grass_2_Avg,,
SHF_open_1,open_1_Avg,,
SHF_open_2,open_2_Avg,,
