current,cr23x_PJ_girdle_2014_01_01_0030,cr23x_PJ_girdle_2014_03_26_1130,cr23x_PJ_girdle_2014_08_28_1130
AirTC_6p85_Avg,dne,dne,dne
RH_6p85_Avg,dne,dne,dne
co2_mean_Avg,dne,dne,dne
stdev_co2,dne,dne,dne
stdev_h2o,dne,dne,dne
stdev_Ts,dne,dne,dne
cov_co2_Ux,dne,dne,dne
cov_h2o_Ux,dne,dne,dne
cov_Ts_Ux,dne,dne,dne
stdev_Ux,dne,dne,dne
cov_co2_Uy,dne,dne,dne
cov_h2o_Uy,dne,dne,dne
cov_Ts_Uy,dne,dne,dne
stdev_Uy,dne,dne,dne
cov_co2_Uz,dne,dne,dne
cov_h2o_Uz,dne,dne,dne
cov_Ts_Uz,dne,dne,dne
cov_Ux_Uz,dne,dne,dne
cov_Uy_Uz,dne,dne,dne
stdev_Uz,dne,dne,dne
h2o_mean_Avg,dne,dne,dne
Hc,dne,dne,dne
Hs,dne,dne,dne
par_facedown_Avg,dne,dne,dne
par_faceup_Avg,dne,dne,dne
rho_a_mean_Avg,dne,dne,dne
sig_lck_f_Tot,dne,dne,dne
CG3UpCo_Avg,dne,dne,dne
CG3DnCo_Avg,dne,dne,dne
NetRs_Avg,dne,dne,dne
NetRl_Avg,dne,dne,dne
NetTot_Avg,dne,dne,dne
Rad_long_Dn_Avg,dne,dne,dne
Rad_long_Up_Avg,dne,dne,dne
CNR1TC_Avg,dne,dne,dne
canopyE_IRT_Avg,dne,dne,dne
h2o_hmp_mean_Avg,dne,dne,dne
soilT_P1_5_AVG,T_P1_5_AVG,T_P1_5_AVG,T_P1_5_AVG
soilT_P1_10_AVG,T_P1_10_AVG,T_P1_10_AVG,T_P1_10_AVG
soilT_P1_30_AVG,T_P1_30_AVG,T_P1_30_AVG,T_P1_30_AVG
soilT_P2_5_AVG,T_P2_5_AVG,T_P2_5_AVG,T_P2_5_AVG
soilT_P2_10_AVG,T_P2_10_AVG,T_P2_10_AVG,T_P2_10_AVG
soilT_P2_30_AVG,T_P2_30_AVG,T_P2_30_AVG,T_P2_30_AVG
soilT_P3_5_AVG,T_P3_5_AVG,T_P3_5_AVG,T_P3_5_AVG
soilT_P3_10_AVG,T_P3_10_AVG,T_P3_10_AVG,T_P3_10_AVG
soilT_P3_30_AVG,T_P3_30_AVG,T_P3_30_AVG,T_P3_30_AVG
soilT_J1_5_AVG,T_J1_5_AVG,T_J1_5_AVG,T_J1_5_AVG
soilT_J1_10_AVG,T_J1_10_AVG,T_J1_10_AVG,T_J1_10_AVG
soilT_J1_30_AVG,T_J1_30_AVG,T_J1_30_AVG,T_J1_30_AVG
soilT_J2_5_AVG,T_J2_5_AVG,T_J2_5_AVG,T_J2_5_AVG
soilT_J2_10_AVG,T_J2_10_AVG,T_J2_10_AVG,T_J2_10_AVG
soilT_J2_30_AVG,T_J2_30_AVG,T_J2_30_AVG,T_J2_30_AVG
soilT_J3_5_AVG,T_J3_5_AVG,T_J3_5_AVG,T_J3_5_AVG
soilT_J3_10_AVG,T_J3_10_AVG,T_J3_10_AVG,T_J3_10_AVG
soilT_J3_30_AVG,T_J3_30_AVG,T_J3_30_AVG,T_J3_30_AVG
soilT_O1_5_AVG,T_O1_5_AVG,T_O1_5_AVG,T_O1_5_AVG
soilT_O1_10_AVG,T_O1_10_AVG,T_O1_10_AVG,T_O1_10_AVG
soilT_O1_30_AVG,T_O1_30_AVG,T_O1_30_AVG,T_O1_30_AVG
soilT_O2_5_AVG,T_O2_5_AVG,T_O2_5_AVG,T_O2_5_AVG
soilT_O2_10_AVG,T_O2_10_AVG,T_O2_10_AVG,T_O2_10_AVG
soilT_O2_30_AVG,T_O2_30_AVG,T_O2_30_AVG,T_O2_30_AVG
soilT_O3_5_AVG,T_O3_5_AVG,T_O3_5_AVG,T_O3_5_AVG
soilT_O3_10_AVG,T_O3_10_AVG,T_O3_10_AVG,T_O3_10_AVG
soilT_O3_30_AVG,T_O3_30_AVG,T_O3_30_AVG,T_O3_30_AVG
cs616_P1_5_AVG_calc,WC_P1_5_AVG,WC_P1_5_AVG,WC_P1_5_AVG
cs616_P1_10_AVG_calc,WC_P1_10_AVG,WC_P1_10_AVG,WC_P1_10_AVG
cs616_P1_30_AVG_calc,WC_P1_30_AVG,WC_P1_30_AVG,WC_P1_30_AVG
cs616_P2_5_AVG_calc,WC_P2_5_AVG,WC_P2_5_AVG,WC_P2_5_AVG
cs616_P2_10_AVG_calc,WC_P2_10_AVG,WC_P2_10_AVG,WC_P2_10_AVG
cs616_P2_30_AVG_calc,WC_P2_30_AVG,WC_P2_30_AVG,WC_P2_30_AVG
cs616_P3_5_AVG_calc,WC_P3_5_AVG,WC_P3_5_AVG,WC_P3_5_AVG
cs616_P3_10_AVG_calc,WC_P3_10_AVG,WC_P3_10_AVG,WC_P3_10_AVG
cs616_P3_30_AVG_calc,WC_P3_30_AVG,WC_P3_30_AVG,WC_P3_30_AVG
cs616_J1_5_AVG_calc,WC_J1_5_AVG,WC_J1_5_AVG,WC_J1_5_AVG
cs616_J1_10_AVG_calc,WC_J1_10_AVG,WC_J1_10_AVG,WC_J1_10_AVG
cs616_J1_30_AVG_calc,WC_J1_30_AVG,WC_J1_30_AVG,WC_J1_30_AVG
cs616_J2_5_AVG_calc,WC_J2_5_AVG,WC_J2_5_AVG,WC_J2_5_AVG
cs616_J2_10_AVG_calc,WC_J2_10_AVG,WC_J2_10_AVG,WC_J2_10_AVG
cs616_J2_30_AVG_calc,WC_J2_30_AVG,WC_J2_30_AVG,WC_J2_30_AVG
cs616_J3_5_AVG_calc,WC_J3_5_AVG,WC_J3_5_AVG,WC_J3_5_AVG
cs616_J3_10_AVG_calc,WC_J3_10_AVG,WC_J3_10_AVG,WC_J3_10_AVG
cs616_J3_30_AVG_calc,WC_J3_30_AVG,WC_J3_30_AVG,WC_J3_30_AVG
cs616_O1_5_AVG_calc,WC_O1_5_AVG,WC_O1_5_AVG,WC_O1_5_AVG
cs616_O1_10_AVG_calc,WC_O1_10_AVG,WC_O1_10_AVG,WC_O1_10_AVG
cs616_O1_30_AVG_calc,WC_O1_30_AVG,WC_O1_30_AVG,WC_O1_30_AVG
cs616_O2_5_AVG_calc,WC_O2_5_AVG,WC_O2_5_AVG,WC_O2_5_AVG
cs616_O2_10_AVG_calc,WC_O2_10_AVG,WC_O2_10_AVG,WC_O2_10_AVG
cs616_O2_30_AVG_calc,WC_O2_30_AVG,WC_O2_30_AVG,WC_O2_30_AVG
cs616_O3_5_AVG_calc,WC_O3_5_AVG,WC_O3_5_AVG,WC_O3_5_AVG
cs616_O3_10_AVG_calc,WC_O3_10_AVG,WC_O3_10_AVG,WC_O3_10_AVG
cs616_O3_30_AVG_calc,WC_O3_30_AVG,WC_O3_30_AVG,WC_O3_30_AVG
shf_P1_AVG,current,current,current
shf_P2_AVG,current,current,current
shf_P3_AVG,current,current,current
shf_J1_AVG,current,current,current
shf_J2_AVG,current,current,current
shf_J3_AVG,current,current,current
shf_O1_AVG,current,current,current
shf_O2_AVG,current,current,current
shf_O3_AVG,current,current,current
hfp_cal_1,current,LaLP1_5,LaLP1_5
hfp_cal_2,current,LaLP1_10,LaLP1_10
hfp_cal_3,current,LaLP1_30,LaLP1_30
hfp_cal_4,current,LaLP2_5,LaLP2_5
hfp_cal_5,current,LaLP2_10,LaLP2_10
hfp_cal_6,current,LaLP2_30,LaLP2_30
hfp_cal_7,current,LaLP3_5,LaLP3_5
hfp_cal_8,current,LaLP3_10,LaLP3_10
hfp_cal_9,current,LaLP3_30,LaLP3_30
sap_P1a_AVG,current,current,current
sap_P1b_AVG,current,current,current
sap_P2a_AVG,current,current,current
sap_P2b_AVG,current,current,current
sap_P3a_AVG,current,current,current
sap_P3b_AVG,current,current,current
sap_P4a_AVG,current,current,current
sap_P4b_AVG,current,current,current
sap_P5a_AVG,current,current,current
sap_P5b_AVG,current,current,current
sap_J1a_AVG,current,current,current
sap_J1b_AVG,current,current,current
sap_J2a_AVG,current,current,current
sap_J2b_AVG,current,current,current
sap_J3a_AVG,current,current,current
sap_J3b_AVG,current,current,current
sap_J4a_AVG,current,current,current
sap_J4b_AVG,current,current,current
sap_J5a_AVG,current,current,current
sap_J5b_AVG,current,current,current
SCO2_P15_AVG,current,current,current
SCO2_P110_AVG,current,current,current
SCO2_P120_AVG,current,SCO2_P130_AVG,SCO2_P130_AVG
SCO2_P140_AVG,current,dne,dne
SCO2_P25_AVG,current,current,current
SCO2_P210_AVG,current,current,current
SCO2_P220_AVG,current,SCO2_P230_AVG,SCO2_P230_AVG
SCO2_P240_AVG,current,dne,dne
sap_sp1a_AVG,current,current,current
sap_sp1b_AVG,current,current,current
sap_sp2a_AVG,current,current,current
sap_sp2b_AVG,current,current,current
sap_sp3a_AVG,current,current,current
sap_sp3b_AVG,current,current,current
sap_sp4a_AVG,current,current,current
sap_sp4b_AVG,current,current,current
sap_sp5a_AVG,current,current,current
sap_sp5b_AVG,current,current,current
ref_temp_AVG,current,current,current
T_P1_5_STD,current,current,dne
T_P1_10_STD,current,current,dne
T_P1_30_STD,current,current,dne
T_P2_5_STD,current,current,dne
T_P2_10_STD,current,current,dne
T_P2_30_STD,current,current,dne
T_P3_5_STD,current,current,dne
T_P3_10_STD,current,current,dne
T_P3_30_STD,current,current,dne
shf_P1_STD,current,current,dne
shf_P2_STD,current,current,dne
shf_P3_STD,current,current,dne
shf_J1_STD,current,current,dne
shf_J2_STD,current,current,dne
shf_J3_STD,current,current,dne
shf_O1_STD,current,current,dne
shf_O2_STD,current,current,dne
shf_O3_STD,current,current,dne
shfmV_P1_STD,current,current,dne
shfmV_P2_STD,current,current,dne
shfmV_P3_STD,current,current,dne
shfmV_J1_STD,current,current,dne
shfmV_J2_STD,current,current,dne
shfmV_J3_STD,current,current,dne
shfmV_O1_STD,current,current,dne
shfmV_O2_STD,current,current,dne
shfmV_O3_STD,current,current,dne
ref_temp_STD,current,current,dne
shfmV_P1_AVG,current,current,current
shfmV_P2_AVG,current,current,current
shfmV_P3_AVG,current,current,current
shfmV_J1_AVG,current,current,current
shfmV_J2_AVG,current,current,current
shfmV_J3_AVG,current,current,current
shfmV_O1_AVG,current,current,current
shfmV_O2_AVG,current,current,current
shfmV_O3_AVG,current,current,current
SCO2_J15_AVG,current,current,current
SCO2_J120_AVG,current,SCO2_J110_AVG,SCO2_J110_AVG
SCO2_J150_AVG,current,SCO2_J130_AVG,SCO2_J130_AVG
SCO2_J25_AVG,current,current,current
SCO2_J220_AVG,current,SCO2_J210_AVG,SCO2_J210_AVG
SCO2_J250_AVG,current,SCO2_J230_AVG,SCO2_J230_AVG
