current,TOA5_GLand_2013_12_19_1500,TOA5_GLand_2014_01_17_1730,TOA5_GLand_2014_02_17_1000,TOA5_GLand_2014_03_04_1430,TOA5_GLand_2014_05_08_1130,TOA5_GLand_2014_07_11_1000
AirTC_Avg,t_hmp_mean,current,current,current,current,current
RH_Avg,dne,current,current,current,current,current
co2_mean_Avg,dne,current,current,current,current,current
co2_um_m_Avg,current,current,current,current,current,current
stdev_co2,current,current,current,current,current,current
stdev_h2o,current,current,current,current,current,current
stdev_Ts,current,current,current,current,current,current
cov_co2_Ux,current,current,current,current,current,current
cov_h2o_Ux,current,current,current,current,current,current
cov_Ts_Ux,current,current,current,current,current,current
stdev_Ux,current,current,current,current,current,current
cov_Ux_Uy,current,current,current,current,current,current
cov_co2_Uy,current,current,current,current,current,current
cov_h2o_Uy,current,current,current,current,current,current
cov_Ts_Uy,current,current,current,current,current,current
stdev_Uy,current,current,current,current,current,current
cov_co2_Uz,current,current,current,current,current,current
cov_h2o_Uz,current,current,current,current,current,current
cov_Ts_Uz,current,current,current,current,current,current
cov_Ux_Uz,current,current,current,current,current,current
cov_Uy_Uz,current,current,current,current,current,current
stdev_Uz,current,current,current,current,current,current
e_hmp_mean_Avg,dne,current,current,current,current,current
h2o_mean_Avg,h2o_Avg,current,current,current,current,current
h2o_hmp_mean_Avg,dne,current,current,current,current,current
h2o_mm_m_Avg,current,current,current,current,current,current
Hc,,current,current,current,current,current
par_facedown_Avg,par_face_down_Avg,par_face_down_Avg,par_face_down_Avg,par_face_down_Avg,par_face_down_Avg,current
par_faceup_Avg,par_face_up_Avg,par_face_up_Avg,par_face_up_Avg,par_face_up_Avg,par_face_up_Avg,current
Rad_long_Dn__Avg,Rad_long_Dn_Avg,current,current,current,current,current
Rad_long_Up__Avg,Rad_long_Up_Avg,current,current,current,current,current
rho_a_mean_Avg,dne,current,current,current,current,current
sig_lck_f_Tot,current,current,current,current,current,current
low12V_3000_Tot,low12V,current,current,current,current,dne
panelT_3000_Avg,dne,panelT_3000_in_Avg,current,current,current,dne
panelT_5000_Avg,dne,dne,dne,dne,dne,panelT_5000_in_Avg
TCAV_grass_Avg,TCAV_grass_2_Avg,TCAV_grass_2_Avg,TCAV_grass_2_Avg,TCAV_grass_2_Avg,TCAV_grass_2_Avg,current
TCAV_open_Avg,TCAV_open_1_Avg,TCAV_open_1_Avg,TCAV_open_1_Avg,TCAV_open_1_Avg,TCAV_open_1_Avg,current
SWC_G1_12p5_Avg,swc_grass1_12p5cm_Avg,current,current,current,current,current
SWC_G1_22p5_Avg,swc_grass1_22p5cm_Avg,current,current,current,current,current
SWC_G1_2p5_Avg,swc_grass1_2p5cm_Avg,current,current,current,current,current
SWC_G1_37p5_Avg,swc_grass1_37p5cm_Avg,current,current,current,current,current
SWC_G1_52p5_Avg,swc_grass1_52p5cm_Avg,current,current,current,current,current
SWC_G2_12p5_Avg,swc_grass2_12p5cm_Avg,current,current,current,current,current
SWC_G2_22p5_Avg,swc_grass2_22p5cm_Avg,current,current,current,current,current
SWC_G2_2p5_Avg,swc_grass2_2p5cm_Avg,current,current,current,current,current
SWC_G2_37p5_Avg,swc_grass2_37p5cm_Avg,current,current,current,current,current
SWC_G2_52p5_Avg,swc_grass2_52p5cm_Avg,current,current,current,current,current
SWC_O1_12p5_Avg,swc_open1_12p5cm_Avg,current,current,current,current,current
SWC_O1_22p5_Avg,swc_open1_22p5cm_Avg,current,current,current,current,current
SWC_O1_2p5_Avg,swc_open1_2p5cm_Avg,current,current,current,current,current
SWC_O1_37p5_Avg,swc_open1_37p5cm_Avg,current,current,current,current,current
SWC_O1_52p5_Avg,swc_open1_52p5cm_Avg,current,current,current,current,current
SWC_O2_12p5_Avg,swc_open2_12p5cm_Avg,current,current,current,current,current
SWC_O2_22p5_Avg,swc_open2_22p5cm_Avg,current,current,current,current,current
SWC_O2_2p5_Avg,swc_open2_2p5cm_Avg,current,current,current,current,current
SWC_O2_37p5_Avg,swc_open2_37p5cm_Avg,current,current,current,current,current
SWC_O2_52p5_Avg,swc_open2_52p5cm_Avg,current,current,current,current,current
SWC_echo_G1_12p5_Avg,echo_grass1_12p5cm_Avg,current,current,current,current,dne
SWC_echo_G1_22p5_Avg,echo_grass1_22p5cm_Avg,current,current,current,current,dne
SWC_echo_G1_2p5_Avg,echo_grass1_2p5cm_Avg,current,current,current,current,dne
SWC_echo_G1_37p5_Avg,echo_grass1_37p5cm_Avg,current,current,current,current,dne
SWC_echo_G1_52p5_Avg,echo_grass1_52p5cm_Avg,current,current,current,current,dne
SWC_echo_G2_12p5_Avg,echo_grass2_12p5cm_Avg,current,current,current,current,dne
SWC_echo_G2_22p5_Avg,echo_grass2_22p5cm_Avg,current,current,current,current,dne
SWC_echo_G2_2p5_Avg,echo_grass2_2p5cm_Avg,current,current,current,current,dne
SWC_echo_G2_37p5_Avg,echo_grass2_37p5cm_Avg,current,current,current,current,dne
SWC_echo_G2_52p5_Avg,echo_grass2_52p5cm_Avg,current,current,current,current,dne
SoilT_G1_12p5_Avg,dne,current,current,current,current,current
SoilT_G1_22p5_Avg,dne,current,current,current,current,current
SoilT_G1_2p5_Avg,dne,current,current,current,current,current
SoilT_G2_12p5_Avg,dne,current,current,current,current,current
SoilT_G2_22p5_Avg,dne,current,current,current,current,current
SoilT_G2_2p5_Avg,dne,current,current,current,current,current
SoilT_G3_12p5_Avg,dne,current,current,dne,dne,dne
SoilT_G3_22p5_Avg,dne,current,current,dne,dne,dne
SoilT_G3_2p5_Avg,dne,current,current,dne,dne,dne
SoilT_O1_12p5_Avg,dne,current,current,current,current,current
SoilT_O1_22p5_Avg,dne,current,current,current,current,current
SoilT_O1_2p5_Avg,dne,current,current,current,current,current
SoilT_O2_12p5_Avg,dne,current,current,current,current,current
SoilT_O2_22p5_Avg,dne,current,current,current,current,current
SoilT_O2_2p5_Avg,dne,current,current,current,current,current
SoilT_O337p5_Avg,dne,current,current,dne,dne,dne
SoilT_O3_12p5_Avg,dne,current,current,dne,dne,dne
SoilT_O3_22p5_Avg,dne,current,current,dne,dne,dne
SoilT_O3_2p5_Avg,dne,current,current,dne,dne,dne
Soil_CO2_G1_10_Avg,soil_co2_grass_1_5cm_Avg,current,current,current,current,current
Soil_CO2_G1_20_Avg,soil_co2_grass_1_10cm_Avg,current,current,current,dne,dne
Soil_CO2_G1_50_Avg,soil_co2_grass_1_20cm_Avg,current,current,current,dne,dne
Soil_CO2_G1_5_Avg,soil_co2_grass_1_50cm_Avg,current,current,current,current,current
Soil_CO2_G2_10_Avg,soil_co2_grass_2_5cm_Avg,current,current,current,current,current
Soil_CO2_G2_20_Avg,soil_co2_grass_2_10cm_Avg,current,current,current,dne,dne
Soil_CO2_G2_50_Avg,soil_co2_grass_2_20cm_Avg,current,current,current,dne,dne
Soil_CO2_G2_5_Avg,soil_co2_grass_2_50cm_Avg,current,current,current,current,current
Soil_CO2_G3_10_Avg,soil_co2_grass_3_5cm_Avg,current,current,current,current,current
Soil_CO2_G3_20_Avg,soil_co2_grass_3_10cm_Avg,current,current,current,dne,dne
Soil_CO2_G3_50_Avg,soil_co2_grass_3_20cm_Avg,current,current,current,dne,dne
Soil_CO2_G3_5_Avg,soil_co2_grass_3_50cm_Avg,current,current,current,current,current
shf_grass_1,SHF_grass_1,current,current,current,current,grass_1_Avg
shf_grass_2,SHF_grass_2,current,current,current,current,grass_2_Avg
shf_open_1,SHF_open_1,current,current,current,current,open_1_Avg
shf_open_2,SHF_open_2,current,current,current,current,open_2_Avg
